"","año","codigo_ine","ccaa","prov","porcentaje_prp","degurba","ln_densidad","distancia_capital","mayores_65","porcentaje_inmigrantes","abstencion_previa","renta","porcentaje_parados"
"10229","2019","34127","Castilla y León","Palencia",11.1111111111111,"Rural areas",1.15320274917457,21.76,41.3793103448276,5.74712643678161,30.1075268817204,NA,0
"10231","2019","34129","Castilla y León","Palencia",16.1538461538462,"Rural areas",1.20793110191357,75.63,44.2528735632184,0,27.3743016759776,12809,5.6
"10233","2019","34130","Castilla y León","Palencia",13.8364779874214,"Rural areas",2.8631398773981,27.83,31.7972350230415,0,22.6415094339623,12684,3.1
"10235","2019","34131","Castilla y León","Palencia",9.80392156862745,"Rural areas",0.96456280629007,45.97,60,1.66666666666667,11.864406779661,NA,4.3
"10237","2019","34132","Castilla y León","Palencia",16.8674698795181,"Rural areas",1.71315469912668,32.55,37.984496124031,1.55038759689922,21.9298245614035,12367,10.1
"10239","2019","34133","Castilla y León","Palencia",21.1764705882353,"Rural areas",1.70618190535594,24.05,41.2844036697248,0,14.9532710280374,10918,10.5
"10241","2019","34134","Castilla y León","Palencia",3.33333333333333,"Rural areas",0.938241253407297,106.49,44.7368421052632,0,20,NA,0
"10243","2019","34135","Castilla y León","Palencia",15.4340836012862,"Rural areas",1.75411038135048,93.56,30.6382978723404,1.48936170212766,26.5664160401003,13168,6.1
"10245","2019","34136","Castilla y León","Palencia",8.82352941176471,"Rural areas",1.96898612146891,69.47,31.6091954022989,7.47126436781609,38.5474860335196,10144,12.2
"10247","2019","34137","Castilla y León","Palencia",5,"Rural areas",0.552413290373411,41.18,37.5,0,14.8148148148148,NA,0
"10249","2019","34139","Castilla y León","Palencia",14.406779661017,"Rural areas",2.19286094393217,79.59,28.7958115183246,5.75916230366492,35.5421686746988,9986,6.2
"10251","2019","34140","Castilla y León","Palencia",10.2941176470588,"Rural areas",1.22078462501966,78.39,44,0,37.3831775700935,NA,3.9
"10253","2019","34141","Castilla y León","Palencia",16.4473684210526,"Rural areas",3.11509664058329,32.31,18.6311787072243,17.8707224334601,15.819209039548,11555,7.4
"10255","2019","34143","Castilla y León","Palencia",7.56302521008403,"Rural areas",1.25443752156331,55.2,37.4301675977654,6.14525139664804,26.7857142857143,11870,11.6
"10257","2019","34146","Castilla y León","Palencia",15.2173913043478,"Rural areas",0.829160276747393,15.1,33.9622641509434,0,21.5686274509804,NA,6.1
"10259","2019","34147","Castilla y León","Palencia",21.1382113821138,"Rural areas",2.12897364975877,51.76,29.9465240641711,2.13903743315508,28.9156626506024,11449,5.4
"10261","2019","34149","Castilla y León","Palencia",11.1111111111111,"Rural areas",0.293959196515055,40.43,44.4444444444444,0,21.7391304347826,NA,NA
"10263","2019","34151","Castilla y León","Palencia",7.29166666666667,"Rural areas",0.832859127654842,84.87,40.3973509933775,0,34.5911949685535,12341,2.3
"10265","2019","34152","Castilla y León","Palencia",12.8712871287129,"Rural areas",1.91453592528793,31.5,29.6052631578947,1.97368421052632,23.2,11290,9.7
"10267","2019","34154","Castilla y León","Palencia",12.0689655172414,"Rural areas",1.32052314599981,72.52,44.1558441558442,0,25.6756756756757,NA,5.1
"10269","2019","34155","Castilla y León","Palencia",12.621359223301,"Rural areas",2.22296377397984,18.93,24.4755244755245,6.99300699300699,19.3798449612403,14046,3
"10271","2019","34156","Castilla y León","Palencia",6.97674418604651,"Rural areas",1.00362214410071,35.45,38.8888888888889,0,10,NA,NA
"10273","2019","34157","Castilla y León","Palencia",16.20294599018,"Rural areas",3.11084410724124,64.96,21.9182708544411,5.16717325227964,26.6175266175266,12102,8.2
"10275","2019","34158","Castilla y León","Palencia",8.24742268041237,"Rural areas",2.71107111217518,97.81,37.6175548589342,0.313479623824451,35.4166666666667,14896,8.4
"10277","2019","34159","Castilla y León","Palencia",8.78661087866109,"Rural areas",2.54302414564453,24.23,24.8192771084337,2.40963855421687,29.1316526610644,12529,6.2
"10279","2019","34160","Castilla y León","Palencia",7.14285714285714,"Rural areas",1.33601823119773,103.84,26.2820512820513,0.641025641025641,17.2661870503597,12898,4.2
"10281","2019","34161","Castilla y León","Palencia",25,"Rural areas",0.71370485891341,64.39,50,0,30.4347826086957,NA,NA
